,species,mass,Molecular_Weight,GC_content,GC_Content,species_numeric
0,Aptenodytes forsteri,28.0,40471.2343,NaN,48.38145231846019,0.0
1,Aptenodytes patagonicus,13.4,40743.5104,NaN,49.69378827646544,1.0
2,Eudyptes chrysocome,2.8,40709.4942,NaN,51.181102362204726,2.0
3,Eudyptes chrysolophus,4.5,40865.6781,NaN,50.91863517060368,
4,Eudyptes sclateri,4.25,40709.4942,NaN,50.83114610673666,
5,Eudyptula minor,1.6,40335.1015,NaN,49.256342957130364,
6,Pygoscelis adeliae,4.6,40674.4945,NaN,49.08136482939632,
7,Pygoscelis antarctica,4.1,40193.8878,NaN,47.76902887139108,
8,Pygoscelis papua,6.1,40403.2598,NaN,47.15660542432196,
9,Spheniscus demersus,3.2,40238.9329,NaN,48.29396325459317,
10,Spheniscus humboldti,4.75,40206.9359,NaN,49.256342957130364,
11,Spheniscus magellanicus,3.4,40266.986,NaN,48.20647419072616,
